日期,涨跌幅
2024-01-19,-0.44%
2024-01-26,+1.96%
2024-02-02,-4.63%
2024-02-08,+5.83%
2024-02-08,+5.83%
2024-02-23,+3.71%
2024-03-01,+1.38%
2024-03-08,+0.20%
2024-03-08,+0.20%
2024-03-15,+0.71%
2024-03-22,-0.70%
2024-03-29,-0.21%
2024-04-03,+0.86%
2024-04-03,+0.86%
2024-04-12,-2.58%
2024-04-19,+1.89%
2024-04-26,+1.20%
2024-04-26,+1.20%
2024-04-30,+0.56%
2024-05-10,+1.72%
2024-05-17,+0.32%
2024-05-24,-2.08%
2024-05-24,-2.08%
2024-05-31,-0.60%
2024-06-07,-0.16%
2024-06-14,-0.91%
2024-06-14,-0.91%
2024-06-21,-1.30%
2024-06-28,-0.97%
2024-07-05,-0.88%
2024-07-12,+1.20%
2024-07-12,+1.20%
2024-07-19,+1.92%
2024-07-26,-3.67%
2024-08-02,-0.73%
2024-08-02,-0.73%
2024-08-09,-1.56%
2024-08-16,+0.42%
2024-08-23,-0.55%
2024-08-23,-0.55%
2024-08-30,-0.17%
2024-09-06,-2.71%
2024-09-13,-2.23%
2024-09-20,+1.32%
2024-09-20,+1.32%
2024-09-27,+15.70%
2024-09-30,+8.48%
2024-10-11,-3.25%
2024-10-11,-3.25%
2024-10-18,+0.98%
2024-10-25,+0.79%
2024-11-01,-1.68%
2024-11-08,+5.50%
2024-11-08,+5.50%
2024-11-15,-3.29%
2024-11-22,-2.60%
2024-11-29,+1.32%
2024-11-29,+1.32%
2024-12-06,+1.44%
2024-12-13,-1.01%
2024-12-20,-0.14%
2025-01-10,-1.13%
2025-01-17,+2.14%
2025-01-17,+2.14%
2025-01-24,+0.54%
2025-01-27,-0.41%
2025-02-07,+1.98%
2025-02-14,+1.19%
2025-02-14,+1.19%
2025-02-21,+1.00%
2025-02-28,-2.22%
2025-03-07,+1.39%
2025-03-07,+1.39%
2025-03-11,-0.07%
