姓名,薪资,城市,资历,学历,其他信息
Python后端开发,8千-1.1万,陕西西安,3年及以上,本科及以上,
Python后端开发,8千-1.1万,陕西西安,3年及以上,本科及以上,
IT工程师,1-1.5万,浙江湖州,3-5年,大专及以上,"午餐补助, 发展空间大, 岗位晋升, 五险一金"
电站软件系统开发工程师,2.5-4万,上海,3-5年,本科及以上,"午餐补助, 发展空间大, 岗位晋升, 五险一金"
电力交易员,9千-1.4万,河南洛阳,5年及以上,本科及以上,"绩效奖金, 带薪年假, 交通补助, 通讯津贴"
电力交易员,1.2-2万·13薪,江苏南京,1年及以上,本科及以上,"年底双薪, 绩效奖金, 交通补助, 通讯津贴"
广东电力市场交易员,1-2万·14薪,广东广州,3年及以上,本科及以上,"带薪年假, 交通补助, 午餐补助, 定期体检"
电力交易员（驻地郑州）,8千-1万,山西太原,1-3年,本科及以上,"节日礼物, 技能培训, 岗位晋升, 五险一金"
电力交易员（驻地合肥）,8千-1万,山西太原,1-3年,本科及以上,"节日礼物, 技能培训, 岗位晋升, 五险一金"
电力交易员,8千-1.5万,陕西西安,3年及以上,本科及以上,"绩效奖金, 午餐补助, 定期体检, 发展空间大"
电力需求分析师,1.2-1.8万,广东广州,3年及以上,本科及以上,
电力交易员（驻地西安）,8千-1万,山西太原,1-3年,本科及以上,"节日礼物, 技能培训, 岗位晋升, 五险一金"
电力系统仿真工程师 （新能源方向）,1.5-3万·14薪,福建厦门,经验不限,硕士及以上,"绩效奖金, 带薪年假, 午餐补助, 定期体检"
电力系统仿真工程师 （新能源方向）,1.5-3万·14薪,福建厦门,经验不限,硕士及以上,"绩效奖金, 带薪年假, 午餐补助, 定期体检"
电站软件系统开发工程师,2.5-4万,浙江杭州,3-5年,本科及以上,"午餐补助, 发展空间大, 岗位晋升, 五险一金"
电力交易员,8千-1万,山西太原,1-3年,本科及以上,"节日礼物, 技能培训, 岗位晋升, 五险一金"
电力交易员（驻地济南）,8千-1万,山西太原,1-3年,本科及以上,"节日礼物, 技能培训, 岗位晋升, 五险一金"
CAE高级工程师,1.5-2.5万,浙江杭州,3年及以上,本科及以上,"年底双薪, 绩效奖金, 带薪年假, 交通补助"
嵌入式开发工程师,1.2-1.8万·13薪,福建厦门,6年及以上,本科及以上,"年底双薪, 绩效奖金, 带薪年假, 扁平化管理"
高级技术支持工程师（故障诊断）(J21179),1.5-2.5万,北京,经验不限,学历不限,"绩效奖金, 带薪年假, 午餐补助, 年终分红"
电力交易员,8千-1.5万,内蒙古呼和浩特,3年及以上,本科及以上,"绩效奖金, 午餐补助, 定期体检, 发展空间大"
EMS工程师,1-2万,江苏苏州,3年及以上,本科及以上,"绩效奖金, 带薪年假, 交通补助, 午餐补助"
电力交易策略工程师,1-2万,上海,5-8年,本科及以上,"绩效奖金, 带薪年假, 通讯津贴, 午餐补助"
电力交易员（驻地西安）,8千-1万,山西太原,1-3年,本科及以上,"节日礼物, 技能培训, 岗位晋升, 五险一金"
电站软件系统开发工程师,2.5-4万,浙江湖州,3-5年,本科及以上,"午餐补助, 发展空间大, 岗位晋升, 五险一金"
电站软件系统开发工程师,2.5-4万,江苏苏州,3-5年,本科及以上,"午餐补助, 发展空间大, 岗位晋升, 五险一金"
电力交易员（驻地沈阳）,8千-1万,山西太原,1-3年,本科及以上,"节日礼物, 技能培训, 岗位晋升, 五险一金"
产品经理,1.9-3.5万·13薪,湖南株洲,3年及以上,本科及以上,"绩效奖金, 带薪年假, 交通补助, 通讯津贴"
能量管理系统（EMS）软件助理工程,6千-1万,江苏苏州,1年及以上,本科及以上,"绩效奖金, 带薪年假, 交通补助, 午餐补助"
叶片结构工程师,2-2.6万·13薪,广东中山,5年及以上,硕士及以上,"年底双薪, 绩效奖金, 带薪年假, 通讯津贴"
新能源电力交易员,1-1.5万,河南洛阳,5年及以上,本科及以上,"绩效奖金, 带薪年假, 交通补助, 通讯津贴"
有源配电网规划工程师（北京、成都、长沙）,1.2-2万·14薪,北京,1-3年,硕士及以上,
风、光资源工程师,1-1.5万,广东广州,3年及以上,本科及以上,"绩效奖金, 带薪年假, 通讯津贴, 定期体检"
